org_code,name,status,postcode,last_change_date
FJ753,OSBON PHARMACY,Active,E15 1XE,2024-01-09
FJ842,CHURCHFIELDS PHARMACY,Active,E18 2PB,2021-02-10
FJD81,PHARMARAM CHEMIST,Active,E13 0PB,2024-01-09
FJE68,BOOTS,Active,E15 1XD,2024-01-09
FJM53,CARTWRIGHTS PHARMACY,Active,E15 1JA,2021-02-10
FJT86,WOODSIDE PHARMACY,Active,E11 1HH,2021-02-10
FJT98,GROVE PHARMACY,Active,E17 9BU,2021-02-10
FJY11,BOOTS,Active,E18 1AY,2024-01-09
FK564,BOOTS,Active,E14 5AX,2024-01-09
FK740,ST JAMES PHARMACY,Active,E17 7PN,2024-11-07
FKP20,LANGTHORNE PHARMACY,Active,E11 4HX,2021-02-10
FLC80,BURNS CHEMIST,Active,E11 3HR,2021-02-10
FLD13,WANSTEAD PHARMACY,Active,E11 2AE,2024-01-09
FLF08,LETTERBOX PHARMACY,Active,E1 6RF,2025-10-16
FLG01,ASDA PHARMACY,Active,E10 5NH,2024-01-09
FLJ82,NEWMANS PHARMACY,Active,E13 8QE,2024-01-09
FLM83,BOOTS,Active,E11 2AE,2024-01-09
FM116,LRM DISPENSING CHEMIST,Active,E13 0QU,2021-02-11
FMM53,WOODSIDE PHARMACY BEACONTREE,Active,E11 4RD,2024-01-09
FMV67,TESCO INSTORE PHARMACY,Active,E11 1HT,2024-01-09
FNA06,DANIELS PHARMACY,Active,E18 1AN,2021-02-10
FNJ57,SHERMAN CHEMISTS,Active,E16 4HP,2021-06-09
FNM10,CATTO CHEMIST,Active,E12 6RH,2021-02-11
FNP17,BOOTS,Active,E1 0LB,2022-03-16
FNW15,CAREHEALTH PHARMACY,Active,E16 3JL,2024-01-09
FNW37,BRITANNIA PHARMACY,Active,E14 0XA,2025-03-06
FP089,BOOTS,Active,E11 1HQ,2024-01-09
FPG12,BOOTS,Active,E13 9AP,2022-03-16
FPL60,OCEAN PHARMACY,Active,E18 2QL,2024-01-09
FPM75,MEDS POINT PHARMACY,Active,E13 0HG,2025-08-28
FPW04,DUNCANS PHARMACY,Active,E12 6PQ,2024-01-09
FQD10,REGIONCHOICE LTD,Active,E1 5QJ,2021-02-11
FQF09,AKSHAR PHARMACIES,Active,E17 5BZ,2024-01-09
FQF62,JETSOL PHARMACY,Active,E16 4PZ,2021-06-09
FQG36,DAYSTAR PHARMACY,Active,E13 9HH,2021-06-01
FQJ20,CHAPEL PHARMACY,Active,E1 2LX,2021-02-11
FQJ73,MUNRO PHARMACY,Active,E13 9AR,2022-07-28
FQP40,WATERMAN PHARMACY,Active,E17 6JG,2021-02-11
FQP48,NEWGEN PHARMACY,Active,E15 2LS,2023-02-09
FQV39,BOOTS,Active,E14 5NY,2024-01-09
FQX57,SOLANKY CHEMIST,Active,E12 6SA,2025-01-22
FR255,LEYTON PHARMACY,Active,E10 6PP,2024-01-09
FRA77,BELL PHARMACY,Active,E12 5JR,2025-01-10
FRA85,ALLIED PHARMACY HIGHAM HILL,Active,E17 5RQ,2024-11-13
FRD61,DMB CHEMIST,Active,E1 2PR,2021-02-11
FRK52,PRIME PHARMACY,Active,E12 6SB,2021-02-11
FRT99,LEYTON GREEN PHARMACY,Active,E17 9DN,2021-02-11
FRX84,BRITANNIA PHARMACY,Active,E14 0BE,2024-01-09
FTL30,ALLENS PHARMACY,Active,E18 2LY,2024-01-09
FTM20,CITY DOCK PHARMACY,Active,E1W 2AF,2023-07-14
FTM85,NEWMANS PHARMACY,Active,E13 8HL,2021-02-11
FTQ53,WELL,Active,E17 7AD,2022-03-16
