flood_area_id,description,severity,severity_level,message,time_raised,time_severity_changed,easting,northing
061WAF19Thame,"River Thame, Horsenden Stream and Chalgrove Brook",Flood alert,3,"""High river levels may lead to flooding. 

Flooding of low lying land and roads remains possible today, 16 December 2025, particularly along the River Thame in the Chalgrove area. The forecast is for rain clearing through the morning, leaving a predominantly dry afternoon and night. River levels are falling along much of the lower River Thame. River levels may rise again in response to forecast rainfall. 

We are monitoring rainfall and river levels. 

Avoid low lying roads near rivers, which may be flooded. 

This message will be updated by 19:00 16 December 2025 or as the situation changes.""
",2025-12-16T08:50:19,2025-12-08T19:36:00,,
112WAFTSES,"South East Somerset Rivers, Upper Reaches",Flood alert,3,"The river level on the Wriggle, the river Cam, the River Yeo at Pen Mill have fallen. Levels remain high at Sherborne Lake remain high following rainfall on Monday night. Further rainfall is forecast tomorrow and Thursday. Flooding of low-lying land and roads is likely in this area.
We will continue to monitor the situation and will issue further alerts or warnings if necessary. We are checking defences and clearing bridges, culverts and screens where necessary. Continue to take care and avoid walking, cycling or driving through flood water. Keep checking for updates to these Alerts. This message will be updated by 3:00PM on 17 December 2025 or as the situation changes.
",2025-12-16T17:37:29,2025-12-16T07:04:00,,
033WAF330,River Stour and Smestow Brook in the Black Country and South Staffordshire,Warning no longer in force,4,"There is no longer a threat of flooding, though standing water and debris may still remain. 
Weather conditions are expected to improve and no further flooding is expected.   
We will continue to monitor the situation and will issue further alerts or warnings if necessary.   
Continue to take care on waterside roads and footpaths and don't put yourself in unnecessary danger. Never drive through flood water,  just 30cm of fast flowing water is enough to move your car.   

",2025-12-16T16:10:31,2025-12-16T16:10:00,,
031WAF104,Tern and Perry catchments,Flood alert,3,"River levels remain high due to recent rainfall and the risk of flooding continues. Flooding is possible on 16 December 2025. Flooding may affect low lying land and roads adjacent to the river from Wolverley to Newport. Other locations that may be affected include Market Drayton, Wem, and Rodington. We are closely monitoring the situation. Take care and avoid walking, cycling or driving through flood water. This message will be updated by 10:00AM on 17 December 2025 or as the situation changes
",2025-12-16T09:38:43,2025-11-29T08:13:00,,
061WAF10Dikler,River Dikler from Condicote to Little Rissington,Flood alert,3,"""Rising river levels may lead to flooding. 

Flooding of low lying land and roads is expected later today, 16 December 2025, especially in the Bourton on the Water area. The forecast is for rain clearing through the morning, leaving a predominantly dry afternoon and night. River levels are currently rising in response to overnight rainfall, and expected to reach the flood risk threshold again. 

We are monitoring rainfall and river levels. 

Avoid low lying roads near rivers, which may be flooded. 

This message will be updated by 19:00 16 December 2025 or as the situation changes.""
",2025-12-16T08:50:35,2025-12-09T07:11:00,,
061WAF08Leach,River Leach from Northleach to Mill Lane near Lechlade,Flood alert,3,"""High river levels may lead to flooding.

Flooding of low lying land and roads remains possible today, 16 December 2025, especially in the Lechlade area. The forecast is for rain clearing through the morning, leaving a predominantly dry afternoon and night. River levels are currently falling, but levels may respond again to recent rainfall over the coming days. 

We are monitoring rainfall and river levels. 

Avoid low lying roads near rivers, which may be flooded. 

This message will be updated by 19:00 16 December 2025 or as the situation changes.""
",2025-12-16T08:48:49,2025-12-05T18:59:00,,
033WAF201,Upper Avon River Swift and Clay Coton Brook,Flood alert,3,"High river levels today may lead to flooding. 
Flooding is possible on 16 December 2025 . 
Flooding may affect low-lying land and roads adjacent to the  River Avon between Stanford and Rugby, River Swift between Cosford and Rugby and Clay Coton Brook between Yelvertoft and Lilbourne. 
We are closely monitoring the situation . 
Take care and avoid walking, cycling or driving through flood water . 
This message will be updated by 11:00AM on 17 December 2025 or as the situation changes.
",2025-12-16T08:05:00,2025-12-16T08:04:00,,
111WAFSTOU,Upper Stour and tributaries,Flood alert,3,"Rising river levels overnight has led to flooding. 
Flooding is possible on 16 December 2025 . 
Flooding is forecast to affect locations near the Upper Dorset Stour, Shreen Water tributaries between Gillingham and Sturminster Newton. Weather conditions are expected to improve throughout the day today, another spell of rain is expected Wednesday afternoon into Thursday that may see river levels rise again. 
We are closely monitoring the situation . 
Take care and avoid walking, cycling or driving through flood water .Never drive through flood water, just 30cm of fast flowing water is enough 
This message will be updated by 11:00AM on 17 December 2025 or as the situation changes.
",2025-12-16T08:27:00,2025-12-16T08:26:00,,
033WAF204,Middle Avon Rugby to Bidford,Flood alert,3,"Rising river levels today may lead to flooding. Flooding is possible from the afternoon of 16 December 2025. Flooding may affect low-lying land and roads adjacent to the River Avon between Rugby and Bidford including Warwick, Stratford upon Avon, caravan parks and farmland. We are closely monitoring the situation. Avoid using low lying footpaths and any bridges near local watercourses. Avoid low lying roads near rivers, which may be flooded. This message will be updated by 11:00AM on 17 December 2025 or as the situation changes.
",2025-12-16T10:33:18,2025-12-15T16:46:00,,
031WAF212,Tributaries in Gloucester,Warning no longer in force,4,"There is no longer a threat of flooding, though standing water and debris may still remain. 
Further rainfall is forecast but no further flooding is expected.   
We will continue to monitor the situation and will issue further alerts or warnings if necessary.   
Continue to take care on waterside roads and footpaths and don't put yourself in unnecessary danger. Never drive through flood water,  just 30cm of fast flowing water is enough to move your car.   

",2025-12-16T09:59:48,2025-12-16T09:59:00,,
111WAFFROL,Lower Frome and tributaries,Flood alert,3,"River levels are rising on the Lower Frome after recent rainfall last night. Flooding is affecting low lying areas to start with near to the River Frome in the Dorchester, West Stafford, Bockhampton, Lewell, Tincleton, Pallington, Waddock, Moreton, Wool, East Stoke, Holmebridge, Stoborough, Stoborough Green, Wareham, Redcliffe, Ridge and Swineham areas. Further rain is forecast to come in Wednesday evening into Thursday. We will continue to monitor the forecast. Please avoid using low lying footpaths and any bridges near local watercourses and do not attempt to walk or drive through flood water. People in this area should take action now and watch your local weather forecast. This message will be updated by 11:00 AM on 17 December 2025, or as the situation changes.
",2025-12-16T09:28:02,2025-12-02T08:04:00,,
033WAF307,River Anker and River Sence,Flood alert,3,"Rising river levels today may lead to flooding. Flooding is possible from the afternoon of 16 December 2025. Flooding may affect low-lying land and roads adjacent to the River Anker between Nuneaton and Tamworth the River Sence between Temple Mill and Ratcliffe Culey. We are closely monitoring the situation. Avoid using low lying footpaths and any bridges near local watercourses. Avoid low lying roads near rivers, which may be flooded. This message will be updated by 11:00AM on 17 December 2025 or as the situation changes.
",2025-12-16T10:54:40,2025-12-15T16:59:00,,
112WAFTSSR,"South Somerset Rivers, Upper Reaches",Flood alert,3,"Following the heavy rainfall last night, this Flood Alert remains in place. Although river levels are now falling after thresholds peaked, they remain high.
Flooding of roads and low-lying land is possible, although property flooding is not expected.
Further flooding is possible tomorrow 17/12 from 11:00AM as river levels are high and forecast to rise further due to heavy rainfall.
We are closely monitoring the situation and checking rivers for blockages.
Take care and avoid walking, cycling or driving through flood water.
Refer to local authority website for road closures.
This message will be updated by 03:00PM on 17/12/2025, or as the situation changes.
",2025-12-16T14:21:12,2025-12-15T20:17:00,,
031WAF116,River Lugg south of Leominster,Flood alert,3,"River levels remain high. Flooding is possible today, 16 December 2025. Flooding may affect low lying land and roads adjacent to the River Lugg south of Leominster from Stoke Prior to Mordiford. Other locations that may be affected include Bodenham, Lugwardine and Hampton Bishop. We are closely monitoring the situation. Take care and avoid walking, cycling or driving through flood water. This message will be updated by 10:00AM on 17 December 2025 or as the situation changes.
",2025-12-16T09:40:10,2025-11-28T16:41:00,,
054WATBT1,"The tidal Rivers Bure, Ant and Thurne",Flood alert,3,"Tide locking, where high tides restrict normal drainage of the river out to sea, today may lead to flooding. 
Flooding is possible from today, Tuesday 16th December 2025, and over the next few days. 
We expect to see high water levels around Potter Heigham, Wroxham boat yards and Ferry Road in Horning. River levels will remain high over the next few days. 
We are closely monitoring the situation . 
Avoid low lying roads near rivers, which may be flooded . 
This message will be updated by 10:00AM on 17 December 2025 or as the situation changes.

",2025-12-16T11:13:57,2025-12-16T11:13:00,,
112WAFTLAC,Little Avon catchment and the Vale of Berkeley,Flood alert,3,"High river levels this morning may lead to flooding. 
Flooding is possible on 16 December 2025 . 
Flooding is forecast to affect locations near the Little Avon, with low lying land and roads expected to be most affected, particularly around Areas most at risk include the Little Avon River and other rivers and streams in the Vale of Berkeley. Weather conditions are expected to improve this afternoon and no further flooding is expected. 
We are monitoring rainfall and river levels . 
Avoid using low lying footpaths and any bridges near local watercourses . 
This message will be updated by 10:30AM on 17 December 2025 or as the situation changes.
",2025-12-16T08:31:33,2025-12-16T08:31:00,,
112WAFYPM,River Yeo and River Parrett Moors around Muchelney and Thorney,Flood alert,3,"The Yeo and Parrett rivers levels remain high following heavy rainfall last night. As a result, this Flood Alert remains in force. Further rain is forecast tomorrow from 12:00PM. The current river level at Huish Episcopi pumping station has risen to 8.57m. The current drain level at Huish Episcopi pumping station is 7.1m. Flooding will affect the road from Langport to Muchelney if this level exceeds 7.3m; the road from Muchelney to Long Load above 7.86m; the road from Muchelney to Thorney above 7.93m and the road from Muchelney to Drayton above 8.8m. We continue to monitor rainfall and river levels. Pumping operations will continue when river levels allow. Avoid driving through flood water. Refer to the local authority website for any local road closures. This message will be updated by 1:00PM on 17 December 2025 or as the situation changes.
",2025-12-16T12:06:48,2025-12-06T10:10:00,,
033WAF202,R Sowe & R Sherbourne and Canley Bk & Finham Bk,Warning no longer in force,4,"There is no longer a threat of flooding, though standing water and debris may still remain. 
Weather conditions are expected to improve and no further flooding is expected.   
We will continue to monitor the situation and will issue further alerts or warnings if necessary.   
Continue to take care on waterside roads and footpaths and don't put yourself in unnecessary danger. Never drive through flood water,  just 30cm of fast flowing water is enough to move your car.   

",2025-12-16T11:26:37,2025-12-16T11:26:00,,
112WAFTMBA,Mid Bristol Avon area,Flood alert,3,"This flood alert remains in place. Areas most at risk include low lying land and roads between Melksham and Bathford. The flood gates at Holt Road may be closed. Flooding is forecast to affect locations near the Bristol Avon, Semington Brook, with low lying land and roads expected to be most affected. River levels are rising. However, further rainfall is expected later this week which will keep river levels high and this flood alert in place. We are closely monitoring the situation and will update this message by 11:30AM on 17 December 2025, or as the situation changes.
",2025-12-16T10:39:44,2025-12-15T19:47:00,,
034WAF408,River Wye in Derbyshire,Flood alert,3,"High river levels this morning may lead to flooding. Flooding is possible on 16th December 2025 from 09:00 onwards. Areas most at risk are low-lying agricultural land and roads including Ashford and Bakewell areas. Heavy rain is forecast over the next 48 hours. River levels at Ashford in the Water Gauge are falling, but still pose a flood risk. We are closely monitoring the situation . Take care and avoid walking, cycling or driving through flood water & avoid using low-lying footpaths near local watercourses. This message will be updated by 09:00AM on 17 December 2025 or as the situation changes.
",2025-12-16T16:55:36,2025-12-15T09:51:00,,
113WAFTW07,Rivers Clyst and Culm and their tributaries,Flood alert,3,"River levels are starting to peak. However they remain high and there may still be flooding to low lying land and roads close to rivers.
 
The main areas of concern are Cullompton, Willand, Culmstock, Hemyock, Bradninch, Broadclyst and Clyst St Mary.
 
We expect the river to remain high throughout the day. Catchments are wet and may be responsive to further rainfall forecast for Wednesday and Thursday.
We are closely monitoring the situation and will issue flood warnings if required. 
Take care and avoid walking, cycling or driving through flood water. 
This message will be updated by 12:00PM on 17 December 2025 or as the situation changes.
",2025-12-16T11:48:40,2025-12-15T14:58:00,,
031WAF214,River Severn in Gloucestershire,Flood alert,3,"Rising river levels may lead to flooding. Flooding is possible on 16 December 2025. 

Flooding may continue over the next few days. Flooding may affect low lying land and roads adjacent the River Severn from Tewkesbury to Gloucester. Locations that may be affected include Apperley, Maisemore, Hempstead, Minsterworth Ham and Quedgeley. Severn Ham, Tewkesbury starts to fill. 

Predicted peaks:- 

Mythe 3.3m to 3.8m on 17/12/25 PM 

Haw Bridge 4.3m to 4.8m on 17/12/25 PM 

Sandhurst 2.8m to 3.3m on 17/12/25 PM 

Gloucester 2.7m to 3.2m on 17/12/25 PM. 

Further rainfall is forecast over the next 48 hours. 

We are monitoring rainfall and river levels. Take care and avoid walking, cycling or driving through flood water. 

This message will be updated by 10:00AM on 17 December 2025 or as the situation changes.
",2025-12-16T07:48:28,2025-12-01T08:52:00,,
031WAF213,River Leadon catchment,Flood alert,3,"Rising river levels today may lead to flooding. Flooding is possible on 16 December 2025.  Flooding may affect low lying land and roads adjacent to the River Leadon. Locations that may be affected include Ledbury, Much Marcle, Staunton, Tibberton and Wedderburn Bridge may now be impassable. Water is over the road at Upleadon Court.  Further rainfall is forecast over the next 48 hours. We are closely monitoring the situation. Take care and avoid walking, cycling or driving through flood water.  This message will be updated by 10:00AM on 17 December 2025 or as the situation changes.
",2025-12-16T07:26:00,2025-12-15T15:51:00,,
112WAFTRCC,River Chew catchment,Flood alert,3,"Rising river levels this evening may lead to flooding.

Flooding of roads and low lying land is possible, property flooding is not expected. Flooding is forecast to affect locations near the River Chew, Winford Brook, Chew Stoke Stream, with low lying land and roads expected to be most affected, particularly around the fords on Mill Lane and Pilgrims Way in Chew Stoke and The Batch and Dumpers Lane in Chew Magna.

Further flooding is possible tomorrow as river levels are forecast to rise due to heavy rainfall.

We are closely monitoring the situation and monitoring rainfall and river levels. Take care and avoid walking, cycling or driving through flood water. Monitor local water levels and weather conditions. Avoid using low lying footpaths and any bridges near local watercourses.

This message will be updated by 10:30 AM on 17/12/2025, or as the situation changes.
",2025-12-16T11:18:34,2025-12-15T19:48:00,,
031WAF209,River Avon in Worcestershire,Flood alert,3,"Rising river levels may lead to flooding. Flooding is possible on 16 December 2025. 

Flooding may affect low lying land and roads adjacent the River Avon from Abbotts Salford to Tewkesbury. Other locations that may be affected include Offenham, Evesham, Twyning and the Eckington Road. Mill Bank Road from Jubillee Bridge to Fladbury is impacted. 

 Predicted peaks:- 

Evesham 1.7m to 2.1m on 17/12 AM 

Bredon 2.5m to 2.9m on 17/12 PM.  

Further rainfall is forecast over the next 48 hours. 

We are closely monitoring the situation. Take care and avoid walking, cycling or driving through flood water.  

This message will be updated by 10:00AM on 17 December 2025 or as the situation changes.
",2025-12-16T07:38:36,2025-12-15T16:06:00,,
112WAFTNSA,North Somerset area,Warning no longer in force,4,"There is no longer a threat of flooding, though standing water and debris may still remain. 
Further rainfall is forecast but no further flooding is expected. A band of rain is expected from 11:00AM tomorrow 17/12. This gets heavier into the evening. Please remain vigilant and check for updates tomorrow. 
We will continue to monitor the situation and will issue further alerts or warnings if necessary.   
Continue to take care on waterside roads and footpaths and don't put yourself in unnecessary danger. Never drive through flood water,  just 30cm of fast flowing water is enough to move your car.   

",2025-12-16T14:39:00,2025-12-16T14:38:00,,
112WAFTBFC,Bristol Frome catchment,Flood alert,3,"High river levels this morning may lead to flooding. 
Flooding is possible on 16 December 2025 . 
Flooding is forecast to affect locations near the Bristol Frome, Bristol Floating Harbour, with low lying land and roads expected to be most affected, particularly around Areas most at risk include St John's Way in Chipping Sodbury and Damson Bridge. Weather conditions are expected to improve this afternoon and no further flooding is expected. 
We are monitoring rainfall and river levels . 
Avoid using low lying footpaths and any bridges near local watercourses . The road may be flooded at Damson Bridge. 
This message will be updated by 10:30AM on 17 December 2025 or as the situation changes.
",2025-12-16T08:31:24,2025-12-16T08:31:00,,
113WABTW09,River Axe area,Flood alert,3,"River levels have peaked and are starting to fall. However they remain high and there may still be flooding to low lying land and roads close to rivers.
The main areas of concern are Seaton, Colyton, Axminster and Axmouth.

We expect the river to remain high throughout the day. Catchments are wet and may be responsive to further rainfall forecast for Wednesday and Thursday.
We are closely monitoring the situation and will issue flood warnings if required. 
Take care and avoid walking, cycling or driving through flood water. 
This message will be updated by 12:00PM on 17 December 2025 or as the situation changes.
",2025-12-16T11:50:30,2025-12-15T10:19:00,,
034WAF430,River Maun in Nottinghamshire,Warning no longer in force,4,"The flood forecast has changed significantly. As a result, there is no longer a risk of flooding in the area. 
Weather conditions are expected to improve and no further flooding is expected.  
We will continue to monitor the situation and will issue further alerts or warnings if necessary.   
Continue to take care on waterside roads and footpaths and don't put yourself in unnecessary danger. Stay away from floodwater - it contains hidden dangers such as open manhole covers, sewage and chemicals.   

",2025-12-16T10:00:34,2025-12-16T10:00:00,,
061WAF23BsctKngs,River Thames and tributaries from Buscot Wick down to Kings Lock,Flood alert,3,"""High river levels may lead to flooding. 

Flooding of low lying land and roads remains possible today, 16 December 2025, particularly along the River Thames in the Shifford area. The forecast is for rain clearing through the morning, leaving a predominantly dry afternoon and night. River levels are currently stable or falling. In the upper reaches of the River Thames, river levels are expected to rise again today in response to overnight rainfall.

We are monitoring rainfall and river levels. 

Avoid low lying roads near rivers, which may be flooded. 

This message will be updated by 19:00 16 December 2025 or as the situation changes.""
",2025-12-16T08:50:51,2025-12-09T16:58:00,,
122WAF982,River Rye catchment,Flood alert,3,"Rising river levels today may lead to flooding. As a result, flooding is possible today, Tuesday 16th December 2025. 

Locationas most affected include the River Rye and it's tributaries, including Ralsdale Beck, River Seph, Ledge Beck, Fangdale Beck, Prodale Beck, Ladhill Beck, Etton Gill, Borough Beck, Spittle Beck, including properties of Salton, Nunnington and Helmsley .

We are closely monitoring the situation . 

Take care and avoid walking, cycling or driving through flood water . 

This message will be updated by 8:00PM on Tuesday 16th December 2025, or as the situation changes.
",2025-12-16T07:44:19,2025-12-15T08:54:00,,
033WAF206,River Dene in South East Warwickshire,Flood alert,3,"High river levels today may lead to flooding. 
Flooding is possible on 16 December 2025 . 
Flooding may affect low lying land and roads around Walton, Wellesbourne and Charlecote Park. 
We are closely monitoring the situation . 
Take care and avoid walking, cycling or driving through flood water . 
This message will be updated by 11:00AM on 17 December 2025 or as the situation changes.
",2025-12-16T09:33:47,2025-12-16T09:33:00,,
112FWFAVN10A,Bristol Avon (upper) from Malmesbury to Chippenham,Flood warning,2,"Rising river levels are expected to cause flooding throughout the evening. 
Flooding is expected on 16 December 2025 . 
Flooding is forecast to affect locations near the Bristol Avon, with low lying land and roads expected to be most affected, particularly around Areas most at risk include Reybridge and Seagry; the Kellaways area. Flooding is expected overnight as river levels rise due to heavy rainfall on Monday. 
We are monitoring rainfall and river levels . 
Take care and avoid walking, cycling or driving through flood water . 
This message will be updated by 10:30AM on 17 December 2025 or as the situation changes. 
",2025-12-16T17:08:50,2025-12-16T17:08:00,,
112FWFAVN30A,Bristol Avon (upper) from Chippenham to Melksham,Flood warning,2,"River levels are currently falling at the Great Somerford gauge but flooding is still expected from tomorrow Wednesday 17/12/2025 until the 19/12/2025. 

Flooding is forecast to affect locations near the Bristol Avon, with low lying land and roads expected to be most affected, particularly around properties at Reybridge. 

We are closely monitoring the situation and monitoring rainfall and river levels. Avoid using low lying footpaths and any bridges near local watercourses.

This message will be updated by 10:30 AM on 17/12/2025, or as the situation changes.
",2025-12-16T17:00:27,2025-12-16T09:39:00,,
122WAF980,River Seven catchment,Flood alert,3,"Rising river levels today may lead to flooding. As a result, flooding is possible today, Tuesday 16th December 2025. 

Locations most affected are the River Seven and it's tributaries including Northdale Beck, Hartoft Beck, Ings Beck, Lastingham Beck, Sutherland Beck, Cropton Beck, Catter Beck, including properties in Sinnington and to the East of Normanby.

We are closely monitoring the situation. Take care and avoid walking, cycling or driving through flood water.

This message will be updated by 8:00PM on Tuesday 16th December 2025, or as the situation changes
",2025-12-16T07:44:19,2025-12-15T08:48:00,,
122WAF950,Lower River Derwent,Flood alert,3,"River levels remain high on the River Derwent. As a result, flooding is possible today, Tuesday 16th December 2025. 

Locations most affected will be local roads and low-lying land near rivers around Stamford Bridge, Pocklington, Wressle, Wilberfoss and Elvington. 

We are monitoring rainfall and river levels and liaising with emergency services and local authorities. Take care and avoid walking, cycling or driving through flood water. 

This message will be updated by 8:00PM on Tuesday 16th December 2025, or as the situation changes.
",2025-12-16T07:42:11,2025-12-16T07:14:00,,
061WAF23Oxford,River Thames and tributaries in the Oxford area,Flood alert,3,"""High river levels may lead to flooding. 

Flooding of low lying land and roads remains possible today, 16 December 2025, particularly along the Thames near Godstow lock. The forecast is for rain clearing through the morning, leaving a predominantly dry afternoon and night. River levels are stable through Oxford. Levels may rise again in response to water making its way downstream following recent rainfall.  

We are monitoring rainfall and river levels. 

Avoid low lying roads near rivers, which may be flooded. 

This message will be updated by 19:00 16 December 2025 or as the situation changes.""
",2025-12-16T08:51:28,2025-12-10T19:32:00,,
122WAF949,Upper River Derwent,Flood alert,3,"River levels remain high on the River Derwent. As a result, flooding is possible today, Tuesday 16th December 2025.

Locations most affected will be low lying land and roads near rivers in the Upper Derwent and Scarborough areas, including land around the Sea Cut at Scalby, Throxenby Beck, Old Malton, and Priorpot Beck in Norton. 

We are monitoring rainfall and river levels and liaising with emergency services and local authorities. Take care and avoid walking, cycling or driving through flood water. 

This message will be updated by 8:00PM on Tuesday 16th December 2025, or as the situation changes.
",2025-12-16T07:42:11,2025-11-20T09:16:00,,
114WAFT1W10A00,Upper River Tamar,Warning no longer in force,4,"There is no longer a threat of flooding, though standing water and debris may still remain. 
Weather conditions are expected to improve and no further flooding is expected. River levels have fallen today. However, more rain is expected from Wednesday 17th December. Catchments are saturated and rivers remain responsive. 
We will continue to monitor the situation and will issue further alerts or warnings if necessary.   
Continue to take care on waterside roads and footpaths and don't put yourself in unnecessary danger. Never drive through flood water,  just 30cm of fast flowing water is enough to move your car.   

",2025-12-16T16:37:48,2025-12-16T16:37:00,,
113WAFTW05,Exmoor Rivers,Warning no longer in force,4,"There is no longer a threat of flooding, though standing water and debris may still remain. 
Further rainfall is forecast but no further flooding is expected. Catchments are wet and may be responsive to further rainfall forecast for Wednesday and Thursday. 
We will continue to monitor the situation and will issue further alerts or warnings if necessary.   
Continue to take care on waterside roads and footpaths and don't put yourself in unnecessary danger. Never drive through flood water,  just 30cm of fast flowing water is enough to move your car.   

",2025-12-16T12:01:23,2025-12-16T12:01:00,,
031WAF112,Upper Teme,Warning no longer in force,4,"There is no longer a threat of flooding, though standing water and debris may still remain. 
Weather conditions are expected to improve and no further flooding is expected.   
We will continue to monitor the situation and will issue further alerts or warnings if necessary.   
Continue to take care on waterside roads and footpaths and don't put yourself in unnecessary danger. Never drive through flood water,  just 30cm of fast flowing water is enough to move your car.   

",2025-12-16T09:24:25,2025-12-16T09:24:00,,
113WAFTW06,Middle Exe area,Flood alert,3,"River levels have peaked and are starting to fall. However they remain high and there may still be flooding to low lying land and roads close to rivers.

The main areas of concern are Exebridge, Bolham, Bampton and Tiverton.

We expect the river to remain high throughout the day. Catchments are wet and may be responsive to further rainfall forecast for Wednesday and Thursday.
We are closely monitoring the situation and will issue flood warnings if required. 
Take care and avoid walking, cycling or driving through flood water. 
This message will be updated by 12:00PM on 17 December 2025 or as the situation changes.
",2025-12-16T11:25:09,2025-12-14T16:43:00,,
